galaxies_lens_mass_centre_0,galaxies_lens_mass_centre_1,galaxies_lens_mass_elliptical_comps_0,galaxies_lens_mass_elliptical_comps_1,galaxies_lens_mass_einstein_radius_value,galaxies_source_pixelization_shape_0,galaxies_source_pixelization_shape_1,galaxies_source_regularization_coefficient,log_likelihood,log_prior,log_posterior,weights
0.050759397932261606,0.027246708778606406,0.07821220779594945,0.05137646702901091,1.5075741320251188,32.55314230865054,28.330891301803007,5143.128295143807,-233641.34893079405,0.839337205522711,-233640.50959358853,0.0
0.02035622204664072,-0.03984585299558071,0.16096326132386518,0.04315002620926647,1.5563343602532003,28.295477731345727,43.36816195013084,772.9590890713764,-229760.25097364176,0.44982752495510586,-229759.8011461168,0.0
-0.007563728868963532,-0.037796346337998124,0.2799236389817009,-0.002244953734285121,1.664675235570445,43.463529044028874,20.508324149514245,622.7664125903402,-228443.59415965687,0.45736280968679693,-228443.1367968472,0.0
-0.00387287298640838,-0.091257939172014,0.1430922232377752,-0.0817637599127743,1.6497452297689679,27.464951397104542,38.889903454799764,552.6347724644235,-226798.72185718446,1.8092787077685208,-226796.91257847668,0.0
-0.011321703172038934,0.006287389402690691,0.25306369877389834,-0.022854832779719322,1.6435976714238671,36.822038173185405,25.18680454677838,414.0559883610875,-221761.97447279125,0.11784824348159556,-221761.85662454777,0.0
-0.033524590586638904,0.005202290529039198,0.2329780565376258,-0.012990213532138504,1.6034241670116727,36.58596450708589,23.323880406146486,163.05019894349883,-179271.3311080404,0.27366406004674987,-179271.05744398036,0.0
-0.025100260229104672,0.038113235674817954,0.24349290342016597,-0.009353731607850411,1.6524342782662953,25.15776805646918,30.554901022505256,92.55838923513727,-132652.31842794703,0.4769895936781991,-132651.84143835335,0.0
0.018930030250545914,0.04774801056297448,0.08879388959742743,-0.0258235782367552,1.5280443692838075,43.523541591550966,41.60014619880256,79.75276575289004,-111317.61482774482,0.6465011212654738,-111316.96832662355,0.0
0.05745992756503764,0.07341688230035417,0.17500016397371596,0.046702739337659054,1.5914863814493767,33.55308734777434,24.216156371115787,20.816060366753213,-27593.631608844564,1.7912499881631223,-27591.8403588564,0.0
-0.030832366538431584,0.04269558216830934,0.1316091339726193,-0.045183852213196755,1.547105889080195,31.419241536336788,22.93993517383243,6.801641938186291,-11810.213366124637,0.7448337953717851,-11809.468532329265,0.0
0.00010435279766927579,0.04385017980299807,0.10795056595966582,0.06273629045842155,1.5218696465075785,30.49100957790673,25.142794757854016,1.6135407975113105,-10193.018197427638,1.1164559435728147,-10191.901741484065,0.0
0.006870607655990435,0.012490652088776973,0.10647699565144968,0.021540086978326243,1.5158907163167445,43.212368020435484,34.97510139158117,1.190817659607931e-05,-7411.004337582832,83976.03974450055,76565.03540691771,0.0
-0.061506932516705366,-0.035926505615657474,0.24528280129821176,-0.015088966409468236,1.6595369909822313,37.130119464639336,27.887192846615235,6.673056727178562,-6989.847829211023,1.2457868740844482,-6988.602042336938,0.0
0.03451949553084803,-0.045540859323589575,0.10602236087703584,-0.04112949634420737,1.541046950474424,20.827801396943045,31.81867553451905,6.429347720032566e-05,-6822.789008838139,15554.444605282904,8731.655596444765,0.0
-0.025510892279210634,0.012470703732496547,0.1361111709394976,-0.06902211436639395,1.5215655736643505,38.592868659324424,24.297220407465822,5.413782006575522e-05,-6602.844543702691,18471.630783682238,11868.786239979547,0.0
0.007062691375463566,-0.027969439831360316,0.292689250579451,0.0013246971193542102,1.682969436161398,36.3437636317733,36.255087188305495,1.3121855543497323e-06,-6377.71230958569,762087.7066962554,755709.9943866697,0.0
0.06979571934316418,-0.05582009125482417,0.21253693888010378,-0.03335503804855636,1.5605827855011398,22.72585908261849,26.761648023282103,0.0016628399306284035,-6376.262011881354,603.0377216532297,-5773.224290228124,0.0
